Reference,Value,Footprint,Count,Datasheet
LED24,APA102,APA102:APA102,1,DOCUMENTATION
LED28,APA102,APA102:APA102,1,DOCUMENTATION
LED32,APA102,APA102:APA102,1,DOCUMENTATION
LED36,APA102,APA102:APA102,1,DOCUMENTATION
LED40,APA102,APA102:APA102,1,DOCUMENTATION
LED46,APA102,APA102:APA102,1,DOCUMENTATION
LED50,APA102,APA102:APA102,1,DOCUMENTATION
LED53,APA102,APA102:APA102,1,DOCUMENTATION
LED42,APA102,APA102:APA102,1,DOCUMENTATION
LED20,APA102,APA102:APA102,1,DOCUMENTATION
LED16,APA102,APA102:APA102,1,DOCUMENTATION
LED11,APA102,APA102:APA102,1,DOCUMENTATION
LED7,APA102,APA102:APA102,1,DOCUMENTATION
LED3,APA102,APA102:APA102,1,DOCUMENTATION
LED48,APA102,APA102:APA102,1,DOCUMENTATION
LED52,APA102,APA102:APA102,1,DOCUMENTATION
LED51,APA102,APA102:APA102,1,DOCUMENTATION
LED47,APA102,APA102:APA102,1,DOCUMENTATION
LED43,APA102,APA102:APA102,1,DOCUMENTATION
LED49,APA102,APA102:APA102,1,DOCUMENTATION
LED45,APA102,APA102:APA102,1,DOCUMENTATION
U3,ESP-12E,ESP8266:ESP-12E,1,
R1,12k,Resistors_SMD:R_0603,1,
R2,12k,Resistors_SMD:R_0603,1,
R3,12k,Resistors_SMD:R_0603,1,
R4,12k,Resistors_SMD:R_0603,1,
R5,12k,Resistors_SMD:R_0603,1,
C4,100nF,Capacitors_SMD:C_0603,1,
R6,470,Resistors_SMD:R_0603,1,
D1,LED_BLUE,LEDs:LED-0603,1,
R7,470,Resistors_SMD:R_0603,1,
SW2,SW_FLASH,switches:B3F-1050,1,
R9,470,Resistors_SMD:R_0603,1,
C8,100uF,Capacitors_SMD:C_0603,1,
U1,CP2102,Housings_DFN_QFN:QFN-28-1EP_5x5mm_Pitch0.5mm,1,
C6,10uF,Capacitors_SMD:C_0603,1,
C5,100nF,Capacitors_SMD:C_0603,1,
C2,100nF,Capacitors_SMD:C_0603,1,
C3,10uF,Capacitors_SMD:C_0603,1,
R8,470,Resistors_SMD:R_0603,1,
P1,USB_OTG,Connect:USB_Micro-B,1,
U4,AP1117D33,TO_SOT_Packages_SMD:SOT-223,1,
C7,22uF,Capacitors_SMD:C_0603,1,
C10,22uF,Capacitors_SMD:C_0603,1,
SW1,SW_RST,switches:B3F-1050,1,
LED12,APA102,APA102:APA102,1,DOCUMENTATION
LED8,APA102,APA102:APA102,1,DOCUMENTATION
LED4,APA102,APA102:APA102,1,DOCUMENTATION
LED9,APA102,APA102:APA102,1,DOCUMENTATION
LED5,APA102,APA102:APA102,1,DOCUMENTATION
LED1,APA102,APA102:APA102,1,DOCUMENTATION
LED10,APA102,APA102:APA102,1,DOCUMENTATION
LED6,APA102,APA102:APA102,1,DOCUMENTATION
LED2,APA102,APA102:APA102,1,DOCUMENTATION
P3,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P4,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P5,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P9,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P2,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P13,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
LED23,APA102,APA102:APA102,1,DOCUMENTATION
LED27,APA102,APA102:APA102,1,DOCUMENTATION
LED31,APA102,APA102:APA102,1,DOCUMENTATION
LED35,APA102,APA102:APA102,1,DOCUMENTATION
LED39,APA102,APA102:APA102,1,DOCUMENTATION
LED19,APA102,APA102:APA102,1,DOCUMENTATION
LED15,APA102,APA102:APA102,1,DOCUMENTATION
P8,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P12,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
LED22,APA102,APA102:APA102,1,DOCUMENTATION
LED26,APA102,APA102:APA102,1,DOCUMENTATION
LED30,APA102,APA102:APA102,1,DOCUMENTATION
LED34,APA102,APA102:APA102,1,DOCUMENTATION
LED38,APA102,APA102:APA102,1,DOCUMENTATION
LED18,APA102,APA102:APA102,1,DOCUMENTATION
LED14,APA102,APA102:APA102,1,DOCUMENTATION
P7,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P11,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
LED21,APA102,APA102:APA102,1,DOCUMENTATION
LED25,APA102,APA102:APA102,1,DOCUMENTATION
LED29,APA102,APA102:APA102,1,DOCUMENTATION
LED33,APA102,APA102:APA102,1,DOCUMENTATION
LED37,APA102,APA102:APA102,1,DOCUMENTATION
LED17,APA102,APA102:APA102,1,DOCUMENTATION
LED13,APA102,APA102:APA102,1,DOCUMENTATION
P6,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P10,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
LED44,APA102,APA102:APA102,1,DOCUMENTATION
LED41,APA102,APA102:APA102,1,DOCUMENTATION
P14,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P15,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P16,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
P17,CONN_01X04,Connectors:CONN_2.54mm_1x4,1,
